Sample ID	Temp	Date	Absorbance	Unnamed: 4	Unnamed: 5
ID 2qnyqnph	23.5084011	1/6/2023	0.15		
ID 4vav20ai	23.79097055	1/22/2023	0.648432		 
ID epmstsni	23.79915396	1/10/2023	0.92		
ID mrevgqn4	21.86204867	1/28/2023	0.15		
ID kbe62r0s	22.475024	1/17/2023	0.15		
ID vysfonqa	22.15399778	1/20/2023	0.15		
ID g1zwwx4p	22.45522067	1/31/2023	0.867020651		
ID v8n3fnhh	21.5729608	1/14/2023	0.92		
ID rajir1xh	23.13974592	1/13/2023	0.463829838		
ID te2d8rza	22.59654411	1/14/2023			
ID 22wdy8w4	21.60695364	1/21/2023	0.15		
ID 9dd7dknr	23.86980974	1/16/2023	0.15		
ID 6yt9zodm	22.79222308	1/27/2023	0.780488077		
ID wx5mxq7e	22.1023756	1/13/2023	0.15		
ID o40tlgx3	23.13985465	1/9/2023	0.15		
ID z4n7v68s	22.94137107	1/13/2023	0.201448542		
ID ix1q741v	23.58250451	1/30/2023	0.607140121		
ID vpmah6eb	23.17874948	1/12/2023	-0.9249724874176142		
ID gsar08wn	22.96023567	1/30/2023	0.15		
ID p7unaylh	23.13403914	1/29/2023	0.92		
ID 5dymcn4p	21.09001265	1/25/2023	0.15		
ID cxo50umx	22.01270826	1/19/2023	0.92		
ID 47p8souu	22.69611687	1/22/2023	0.92		
ID rk5vvs02	22.82617157	1/6/2023	0.92		
ID erujwltl	23.77387417	1/24/2023	0.686136398		
ID 4nck9vj6	23.69606888	1/21/2023	0.343153569		
ID qkl1lppq	21.83794156	1/24/2023	0.15		
ID d10q60n5	22.47737214	1/21/2023	0.305911709		
ID w94upbqe	23.45034676	1/11/2023	0.15		
ID tnd9uvba	22.86370645	1/9/2023	-0.7112304777040828		
ID ppx3vwtv	21.60950233	1/5/2023	0.171144429		
ID 5uqo3nat	21.83829903	1/20/2023	0.36795869		
ID yd0969r7	21.70809487	1/30/2023	0.15		
ID ujhnr4g7	22.53911062	1/11/2023	0.15		
ID cqwd603t	23.6639161	1/25/2023	0.15		
ID qsn1udpd	21.60804618	1/18/2023	0.341551153		
ID n7epyv3r	23.70275148	1/12/2023	0.753860466		
ID 7kso4pvu	21.41007576	1/17/2023	0.915630199		
